Companies,Career Page Link,Applied,Application status,Referral ?,Status
Agoda,,True,,,not return
Single source,https://www.singlestore.com/,True,,,not selected
Google,https://careers.google.com/,True,,,not return
Myntra,https://careers.myntra.com/,True,,,not return
Atlassian,https://www.atlassian.com/company/careers,True,,,not return
Twillio,https://www.twilio.com/company/jobs,True,,,not return
Phonepe,https://www.phonepe.com/careers,True,,,not selected
Uber,https://www.uber.com/global/en/careers/,True,,,not selected
Paypal,https://www.paypal.com/us/webapps/mpp/jobs,True,,,not return
Nutanix,https://www.nutanix.com/company/careers,True,,,rejection before interview
Linkedin,https://www.linkedin.com/jobs/,True,,,not return
Wingify,https://wingify.com/careers/,True,,,not return
Rippling,https://www.rippling.com/careers,True,,,not return
Autodesk,https://www.autodesk.com/careers,True,,,not return
Adobe,https://www.adobe.com/careers.html,True,,,not return
Microsoft,https://careers.microsoft.com/us/en,True,,,not return
Rubrik,https://www.rubrik.com/company/careers,True,,,rejection before interview
Salesforces,https://www.salesforce.com/company/careers/,True,,,rejection before interview
Mastercard,https://www.mastercard.us/en-us/about-mastercard/careers.html,True,,,not return
Flipkart,https://www.flipkartcareers.com/,True,,,not selected
Amazon,https://www.amazon.jobs/en-gb/,True,,,not return
Expedia,https://lifeatexpediagroup.com/,True,,,rejection before interview
abnoral security,,False,https://mail.google.com/mail/u/2/#inbox/FMfcgzGwJvpdRLBghRpqFrNGjfGslnGf,No,not return
motive,https://gomotive.com/company/careers/,False,,,not return
coindcx,https://careers.coindcx.com/,False,,,not return
Hackerrank,https://boards.greenhouse.io/hackerrank/jobs/5128049?gh_jid=5128049&gh_src=1836e8621us,False,,,not return
Chegg,https://www.chegg.com/about/careers/,False,,,not return
Codenation,https://codenation.com/careers,False,,,not return
Freecharge,https://www.freecharge.in/careers,False,,,not return
Payu,https://www.payu.com/careers/,False,,,not return
Dremio,https://www.dremio.com/careers/,False,,,not return
Moengage,https://www.moengage.com/careers/,False,,,not return
Sprinklr,https://www.sprinklr.com/careers/,False,,,not return
Walmart,https://careers.walmart.com/,False,,,not return
Anthem,https://www.antheminc.com/careers,False,,,not return
Far Eye,https://www.getfareye.com/careers,False,,,not return
Ion Trading,https://www.iongroup.com/careers/,False,,,not return
Salesken,https://www.salesken.ai/careers/,False,,,not return
Infoedge,https://www.infoedge.com/careers,False,,,not return
Inmobi,https://www.inmobi.com/careers/,False,,,not return
Cloud Lending,https://www.cloudlendinginc.com/careers,False,,,not return
Couchbase,https://www.couchbase.com/careers,False,,,not return
Urban Ladder,https://www.urbanladder.com/careers,False,,,not return
Jio,https://careers.jio.com/,False,,,not return
Telstra,https://www.telstra.com.au/aboutus/careers,False,,,not return
Dealshare,https://dealshare.in/careers,False,,,not return
Rivigo,https://rivigo.com/careers/,False,,,not return
Indiamart,https://corporate.indiamart.com/careers/,False,,,not return
Mentor Graphics,https://www.mentor.com/company/careers,False,,,not return
Blackbuck,https://www.blackbuck.com/careers/,False,,,not return
Acko,https://www.acko.com/careers,False,,,not return
Oci,https://www.oracle.com/cloud/iaas.html,False,,,not return
World Quant,https://www.worldquant.com/careers,False,,,not return
Kuvera,https://kuvera.in/careers,False,,,not return
Yellow messenger,https://yellowmessenger.com/careers/,False,,,not return
Prophecy Io,https://www.prophecy.io/careers/,False,,,not return
Airtel X Labs,https://www.airtel.in/airtelx/,False,,,not return
Zupee,https://zupee.in/careers,False,,,not return
Traveloka,https://www.traveloka.com/en-id/careers,False,,,not return
Cashfree,https://www.cashfree.com/careers,False,,,not return
Peak Ai,https://peak.ai/careers/,False,,,not return
Airbase,https://www.airbase.com/careers,False,,,not return
Olx Group,https://www.olxgroup.com/careers/,False,,,not return
Mpl,https://www.mpl.live/careers,False,,,not return
Bright Money,https://www.brightmoney.co/careers,False,,,not return
Moonfrog,https://www.moonfroglabs.com/careers,False,,,not return
Cult. Fit,https://www.cult.fit/careers,False,,,not return
Dunzo,https://www.dunzo.com/careers,False,,,not return
Frontrow,https://www.frontrow.com/careers,False,,,not return
Groww,https://groww.in/careers,False,,,not return
Buyhatke,https://careers.buyhatke.com/,False,,,not return
Simpl,https://getsimpl.com/careers/,False,,,not return
Graviton,https://www.graviton.com/careers,False,,,not return
Nk Securities,https://www.nksecurities.com/careers,False,,,not return
Intuit,https://www.intuit.com/careers/,False,,,not return
Ajio,https://www.ajio.com/careers,False,,,not return
Unacademy,https://unacademy.com/careers,False,,,not return
Ansys,https://www.ansys.com/company/careers,False,,,not return
Tower Research Capital,https://www.tower-research.com/careers/,False,,,not return
Revolut,https://www.revolut.com/en-US/careers,False,,,not return
Target,https://corporate.target.com/careers,False,,,not return
Whatfix,https://whatfix.com/careers/,False,,,not return
Nektar Ai,https://nektar.ai/careers,False,,,not return
Plumhq,https://plumhq.com/careers/,False,,,not return
Instabase,https://instabase.com/careers/,False,,,not return
Daily Rounds,https://www.dailyrounds.org/careers,False,,,not return
Freshworks,https://www.freshworks.com/company/careers/,False,,,not return
Bain & Company,https://www.bain.com/careers/,False,,,not return
Biofourmis,https://www.biofourmis.com/careers,False,,,not return
Airbnb,https://careers.airbnb.com/,False,,,not return
Medianet,https://www.medianet.com/careers,False,,,not return
Mckinsey,https://www.mckinsey.com/careers,False,,,not return
Sigmoid,https://www.sigmoid.com/careers/,False,,,not return
Money Control,https://www.moneycontrol.com/careers/,False,,,not return
Lenskart,https://jobs.lenskart.com/,False,,,not return
Airtel Software,https://www.airtel.in/careers/,False,,,not return
Xerox Research,https://www.xerox.com/en-us/about/careers/research,False,,,not return
Toppr,https://www.toppr.com/careers/,False,,,not return
Dp World,https://www.dpworld.com/careers,False,,,not return
C2fo,https://c2fo.com/careers/,False,,,not return
Indmoney,https://www.indmoney.com/careers,False,,,not return
Porter,https://porter.in/careers,False,,,not return
Texas Instruments,https://careers.ti.com/,False,,,not return
Samsung Semiconductor,https://www.samsungsemiconductor.com/careers,False,,,not return
Mfine,https://www.mfine.co/careers,False,,,not return
Yugabyte,https://www.yugabyte.com/careers/,False,,,not return
Postman,https://www.postman.com/company/careers/,False,,,not return
Goldman Sachs,https://www.goldmansachs.com/careers/,False,,,not return
Urban Company,https://careers.urbancompany.com/,False,,,not return
Moneyview,https://moneyview.in/careers/,False,,,not return
Byjus,https://byjus.com/careers/,False,,,not return
VISA,https://www.visa.co.in/careers.html,False,,,not return
Reliance Retail,https://www.relianceretail.com/careers,False,,,not return
Groupon,https://www.groupon.com/careers,False,,,not return
Delhivery,https://www.delhivery.com/careers,False,,,not return
Jumio,https://www.jumio.com/company/careers/,False,,,not return
Make my trip,https://careers.makemytrip.com/,False,,,not return
Gartner,https://jobs.gartner.com/,False,,,not return
National Instruments,https://www.ni.com/en-in/about-ni/careers.html,False,,,not return
Sostronk,https://www.sostronk.com/careers,False,,,not return
Cult Fit,https://www.cult.fit/careers,False,,,not return
Cisco,https://www.cisco.com/c/en/us/about/careers.html,False,,,not return
Wells Fargo,https://www.wellsfargo.com/about/careers/,False,,,not return
Confluent,https://www.confluent.io/careers/,False,,,not return
Zoomcar,https://www.zoomcar.com/careers,False,,,not return
Zerodha,https://zerodha.com/careers,False,,,not return
Uipath,https://www.uipath.com/company/careers,False,,,not return
Booking,https://careers.booking.com/,False,,,not return
Slack,https://slack.com/careers,False,,,not return
Vymo,https://www.getvymo.com/careers/,False,,,not return
Yahoo,https://careers.yahoo.com/,False,,,not return
Cogoport,https://www.cogoport.com/careers,False,,,not return
Fanclash,https://fanclash.com/careers,False,,,not return
Noccarc,https://noccarc.com/careers/,False,,,not return
Avalara,https://www.avalara.com/us/en/about/careers.html,False,,,not return
Gupshup,https://www.gupshup.io/careers,False,,,not return
Leap Finance,https://leapfinance.com/careers,False,,,not return
Tomtom,https://www.tomtom.com/careers/,False,,,not return
Oracle,https://www.oracle.com/in/corporate/careers/,False,,,not return
Leena Ai,https://leena.ai/careers/,False,,,not return
Insideview,https://www.insideview.com/careers/,False,,,not return
Linq,https://www.linqapp.in/careers,False,,,not return
Arista,https://www.arista.com/en/company/careers,False,,,not return
Smart Coin Financials,https://smartcoin.co.in/careers/,False,,,not return
Tokopedia,https://www.tokopedia.com/careers,False,,,not return
Nas Academy,https://www.nasacademy.com/careers,False,,,not return
Trinkerr,https://trinkerr.com/careers/,False,,,not return
Adidas,https://careers.adidas-group.com/,False,,,not return
Walmart Labs,https://careers.walmart.com/walmartlabs,False,,,not return
Oppo,https://www.oppo.com/in/about-us/careers/,False,,,not return
Quizizz,https://quizizz.com/about/careers,False,,,not return
Mykaarma,https://www.mykaarma.com/careers/,False,,,not return
Deshaw,https://www.deshawindia.com/careers/,False,,,not return
Nference,https://nference.ai/careers/,False,,,not return
Ninjacart,https://www.ninjacart.in/careers,False,,,not return
Pickrr,https://pickrr.com/careers,False,,,not return
Duetshe Bank,https://www.db.com/careers/index_e.html,False,,,not return
Zendrive,https://www.zendrive.com/careers/,False,,,not return
Progress,https://www.progress.com/company/careers,False,,,not return
Gojek,https://www.gojek.io/careers,False,,,not return
Pharmeasy,https://pharmeasy.in/careers,False,,,not return
Itilite,https://www.itilite.com/careers,False,,,not return
Endurance,https://www.endurance.com/careers,False,,,not return
Salesforce,https://www.salesforce.com/company/careers/,False,,,not return
Broadcom,https://www.broadcom.com/company/careers,False,,,not return
Bharatpe,https://bharatpe.com/careers/,False,,,not return
Rain Instant Pay,https://rain.in/careers,False,,,not return
Rupeek,https://www.rupeek.com/careers,False,,,not return
Winzo,https://winzogames.com/careers,False,,,not return
Meidatek,https://www.mediatek.com/careers,False,,,not return
Samsung,https://www.samsung.com/us/careers/,False,,,not return
Fareye,https://www.fareye.com/careers,False,,,not return
Alphonso,https://alphonso.tv/careers/,False,,,not return
Cadence,https://www.cadence.com/en_US/home/careers.html,False,,,not return
Mindtickle,https://www.mindtickle.com/careers/,False,,,not return
Auzmor,https://www.auzmor.com/careers,False,,,not return
Harness,https://www.harness.io/careers/,False,,,not return
Indiagold,https://www.indiagold.com/careers,False,,,not return
Alphagrep,https://www.alphagrep.com/careers,False,,,not return
Upstox,https://upstox.com/careers/,False,,,not return
Kla,https://www.kla-tencor.com/careers,False,,,not return
Tesla,https://www.tesla.com/careers,False,,,not return
Zeotap,https://zeotap.com/careers/,False,,,not return
Splashlearn,https://www.splashlearn.com/careers,False,,,not return
Sensehq,https://sensehq.com/careers/,False,,,not return
Truera,https://www.truera.com/careers/,False,,,not return
Cure.fit,https://www.cure.fit/careers,False,,,not return
Oyo,https://www.oyorooms.com/careers/,False,,,not return
Udaan,https://udaan.com/careers,False,,,not return
Zynga,https://www.zynga.com/careers,False,,,not return
Citrix,https://www.citrix.com/careers/,False,,,not return
Cloootrack,https://clootrack.com/careers/,False,,,not return
Eightfold Ai,https://eightfold.ai/careers/,False,,,not return
Citi Bank,https://jobs.citi.com/,False,,,not return
Public Sapient,https://www.publicissapient.com/careers,False,,,not return
Commerceiq,https://commerceiq.ai/careers/,False,,,not return
Xilinx,https://www.xilinx.com/about/careers.html,False,,,not return
Practo,https://www.practo.com/company/careers,False,,,not return
Browser Stack,https://www.browserstack.com/careers,False,,,not return
Quad Eye,https://www.quadeye.com/careers/,False,,,not return
Hike,https://careers.hike.in/,False,,,not return
Paytm,https://paytm.com/careers/,False,,,not return
Bizongo,https://www.bizongo.in/careers,False,,,not return
Glance,https://www.glance.com/careers/,False,,,not return
Sixt,https://www.sixt.jobs/en/,False,,,not return
Khatabook,https://khatabook.com/careers,False,,,not return
Dream 11,https://about.dream11.in/careers/,False,,,not return
Motorq,https://www.motorq.co/careers,False,,,not return
Jungle Games,https://junglee.games/careers/,False,,,not return
Sumo Logic,https://www.sumologic.com/company/careers/,False,,,not return
Coinswitch,https://coinswitch.co/careers,False,,,not return
Plivo,https://www.plivo.com/careers/,False,,,not return
Philips,https://www.philips.co.in/a-w/careers/home.html,False,,,not return
Trifacta,https://www.trifacta.com/company/careers/,False,,,not return
Bcg,https://www.bcg.com/careers/default.aspx,False,,,not return
Fraazo,https://fraazo.com/careers,False,,,not return
Limeroad,https://www.limeroad.com/careers,False,,,not return
Vogo,https://vogo.in/careers,False,,,not return
Gameskraft,https://www.gameskraft.com/careers,False,,,not return
Mathworks,https://www.mathworks.com/company/jobs.html,False,,,not return
Wooqer,https://wooqer.com/careers/,False,,,not return
Akamai,https://www.akamai.com/us/en/careers/,False,,,not return
Synopsys,https://www.synopsys.com/company/careers.html,False,,,not return
Code Nation,https://codenation.com/careers,False,,,not return
Epifi,https://www.epifi.com/careers,False,,,not return
Dream11,https://about.dream11.in/careers/,False,,,not return
Makemytrip,https://careers.makemytrip.com/,False,,,not return
Morgan Stanley,https://www.morganstanley.com/people-opportunities/students-graduates/programs/technology,False,,,not return
Hedge Fund,https://www.hedgefundresearch.com/careers,False,,,not return
Navi,https://navi.com/careers,False,,,not return
Crowdfire,https://www.crowdfireapp.com/careers,False,,,not return
Western Digital,https://jobs.westerndigital.com/,False,,,not return
Juniper Networks,https://www.juniper.net/us/en/company/careers/,False,,,not return
Credit Suisse,https://www.credit-suisse.com/about-us/en/careers.html,False,,,not return
Ixigo,https://www.ixigo.com/jobs,False,,,not return
Juspay,https://juspay.in/careers/,False,,,not return
Times Internet,https://www.timesinternet.in/careers/,False,,,not return
Spinny,https://www.spinny.com/careers,False,,,not return
Amagi,https://www.amagi.com/careers/,False,,,not return
Datadog,https://www.datadoghq.com/careers/,False,,,not return
Nurture Farm,https://www.nurture.farm/careers,False,,,not return
Arcesium,https://www.arcesium.com/careers/,False,,,not return
Browserstack,https://www.browserstack.com/careers,False,,,not return
Informatica,https://www.informatica.com/about-us/careers.html,False,,,not return
Druva,https://www.druva.com/about/careers/,False,,,not return
Uolo,https://www.uolo.in/careers,False,,,not return
Coinbase,https://www.coinbase.com/careers,False,,,not return
Bankbazaar,https://www.bankbazaar.com/careers.html,False,,,not return
Stripe,https://stripe.com/jobs,False,,,not return
Apple,https://www.apple.com/jobs/us/,False,,,not return
Apna,https://apna.co/careers,False,,,not return
Zomato,https://www.zomato.com/jobs,False,,,not return
Snowflake,https://www.snowflake.com/about/careers/,False,,,not return
Chronus Software,https://chronus.com/careers,False,,,not return
Servicenow,https://www.servicenow.com/careers.html,False,,,not return
Eightfold.ai,https://www.eightfold.ai/careers/,False,,,not return
Zenefits,https://www.zenefits.com/careers/,False,https://boards.greenhouse.io/hackerrank/jobs/5128049?gh_jid=5128049&gh_src=1836e8621us,Ask for referal,ask for referal
Clarisights,https://www.clarisights.com/careers,False,,,not return
Swiggy,https://careers.swiggy.com/,False,,,not return
Goodworker,https://www.goodworker.in/careers,False,,,not return
Magnitude,https://magnitude.com/careers/,False,,,not return
Newfold Digital,https://www.newfold.com/careers,False,,,not return
Rebel Foods,https://www.rebelfoods.com/careers/,False,,,not return
Sapient,https://www.sapient.com/en-us/careers.html,False,,,not return
Citymall,https://citymall.ai/careers/,False,,,not return
Netapp,https://www.netapp.com/us/careers/,False,,,not return
Enfusion,https://www.enfusion.com/careers,False,,,not return
Chargebee,https://www.chargebee.com/careers/,False,,,not return
Nvidia,https://www.nvidia.com/en-us/about-nvidia/careers/,False,,,not return
Facebook,https://www.facebook.com/careers/,False,,,not return
Komprise,https://www.komprise.com/careers/,False,,,not return
DE Shaw,https://www.deshaw.com/careers,False,,,not return
Loco,https://loconav.com/careers,False,,,not return
Indeed,https://www.indeed.jobs/,False,,,not return
Samsung R&D,https://research.samsung.com/srds,False,,,not return
Cleartax,https://cleartax.in/s/careers,False,,,not return
Dialpad,https://www.dialpad.com/careers/,False,,,not return
Freshmenu,https://www.freshmenu.com/careers,False,,,not return
Qualcomm,https://www.qualcomm.com/company/careers,False,,,not return
Schlumberger,https://www.slb.com/careers,False,,,not return
Ola,https://www.olacabs.com/careers,False,,,not return
Innovacer,https://innovaccer.com/careers/,False,,,not return
Nike,https://jobs.nike.com/,False,,,not return
Sabre,https://www.sabre.com/careers/,False,,,not return
Belzabar,https://www.belzabar.com/careers/,False,,,not return
Yellow Ai,https://yellow.ai/careers/,False,,,not return
Commvault,https://www.commvault.com/company/careers,False,,,not return
Nucleus,https://www.nucleussoftware.com/careers,False,,,not return
Sap Labs,https://www.sap.com/india/about/careers.html,False,,,not return
Falabella,https://www.falabella.com/falabella-cl/page/Trabaja-con-nosotros,False,,,not return
Vmware,https://careers.vmware.com/,False,,,not return
Electronics Arts,https://www.ea.com/careers/careers-overview,False,,,not return
Socgen,https://careers.societegenerale.com/,False,,,not return
Airbus,https://www.airbus.com/careers.html,False,,,not return
Netomi,https://www.netomi.com/careers,False,,,not return
Sumologic,https://www.sumologic.com/company/careers/,False,,,not return
Credgenics,https://www.credgenics.com/careers,False,,,not return
Blinkit,https://www.blinkit.ai/careers,False,,,not return
Bukuwarung,https://bukuwarung.com/careers,False,,,not return
Meesho,https://meesho.com/careers,False,,,not return
Appdynamics,https://www.appdynamics.com/company/careers/,False,,,not return
Shiprocket,https://www.shiprocket.in/careers/,False,,,not return
Funplus,https://www.funplus.com/careers/,False,,,not return
Licious,https://www.licious.in/careers,False,,,not return
Intel,https://www.intel.com/content/www/us/en/jobs/jobs-at-intel.html,False,,,not return
Stashfin,https://www.stashfin.com/careers/,False,,,not return
Cred,https://cred.club/careers,False,,,not return
Jpmc,https://careers.jpmorgan.com/us/en/home,False,,,not return
Headout,https://www.headout.com/careers,False,,,not return
Airtel,https://www.airtel.in/careers/,False,,,not return
Idrive,https://www.idrive.com/careers.htm,False,,,not return
Fleetx,https://fleetx.io/careers/,False,,,not return
Eltropy,https://www.eltropy.com/careers/,False,,,not return
Yubi,https://www.yubico.com/about/careers/,False,,,not return
Livspace,https://www.livspace.com/careers,False,,,not return
Tesco,https://www.tesco-careers.com/,False,,,not return
Media.Net,https://www.media.net/careers,False,,,not return
Zebpay,https://zebpay.com/careers/,False,,,not return
Bigbasket,https://www.bigbasket.com/careers/,False,,,not return
Turvo,https://turvo.com/careers/,False,,,not return
Angel One,https://www.angelone.in/careers,False,,,not return
Zepto,https://zepto.com/careers/,False,,,not return
Clearquote,https://www.clearquote.com/careers,False,,,not return
Infoworks,https://www.infoworks.io/careers/,False,,,not return
Razorpay,https://razorpay.com/careers/,False,,,not return
Bny Mellon,https://www.bnymellon.com/us/en/careers/index.jsp,False,,,not return
Fedility Investments,https://jobs.fidelity.com/,False,,,not return
Tower Research,https://www.tower-research.com/careers/,False,,,not return
Avail Finance,https://www.availfinance.in/careers,False,,,not return
Propertyguru,https://www.propertyguru.com.sg/about-us/careers,False,,,not return
Hotstar,https://www.hotstar.com/in/careers,False,,,not return
Nobroker,https://www.nobroker.in/careers,False,,,not return
Palo Alto,https://www.paloaltonetworks.com/company/careers,False,,,not return
American Express,https://www.americanexpress.com/en-in/careers/,False,,,not return
Cleartrip,https://www.cleartrip.com/careers/,False,,,not return
Ge Health Care,https://www.gehealthcare.com/about/careers,False,,,not return
Msc,https://www.msc.com/ind/careers,False,,,not return
Cohesity,https://www.cohesity.com/company/careers/,False,,,not return
Tata 1mg,https://www.1mg.com/careers,False,,,not return
Jupiter Money,https://jupiter.money/careers,False,,,not return
Flock,https://www.flock.com/careers,False,,,not return
Okcredit,https://okcredit.in/careers,False,,,not return
Games 24x7,https://www.games24x7.com/careers/,False,,,not return
Directi,https://careers.directi.com/,False,,,not return
Twitter,https://careers.twitter.com/en.html,False,,,not return
Clumio,https://www.clumio.com/careers/,False,,,not return
Media. Net,https://www.media.net/careers,False,,,not return
Lambdatest,https://www.lambdatest.com/careers,False,,,not return
Sigtuple,https://sigtuple.com/careers,False,,,not return
Disney Hotstar,https://www.hotstar.com/in/careers,False,,,not return
Bloomreach,https://www.bloomreach.com/en/careers,False,,,not return
Grab,https://www.grab.com/sg/careers/,False,,,not return
Sharechat,https://we.sharechat.com/careers/,False,,,not return
Refyne,,,,,not return
eventbrite - remote,,,,,not return